episode,laser_start,laser_duration,group_num,flare_times,flare_begin_release_time,group_interval,miss_distance,success,episode_duration,missile_to_flare_distance
1,0,0,3,"[0.0, 0.6, 1.2]",0,0.6,0,0,27.5,"[10000.12, 9689.76, 9375.75]"
2,0,0,3,"[0.6, 1.2, 1.8]",0.6,0.6,0.01,0,27.6,"[9694.86, 9382.08, 9069.55]"
3,0,0,3,"[1.2, 1.8, 2.4]",1.2,0.6,0.02,0,27.6,"[9386.06, 9074.37, 8765.41]"
4,0,0,3,"[1.8, 2.4, 3.0]",1.8,0.6,0.02,0,27.6,"[9077.51, 8769.16, 8465.36]"
5,0,0,3,"[2.4, 3.0, 3.6]",2.4,0.6,0.03,0,27.6,"[8771.88, 8468.6, 8171.07]"
6,0,0,3,"[3.0, 3.6, 4.2]",3,0.6,0.03,0,27.6,"[8470.99, 8173.9, 7883.32]"
7,0,0,3,"[3.6, 4.2, 4.8]",3.6,0.6,0,0,27.6,"[8176.06, 7885.84, 7602.49]"
8,0,0,3,"[4.2, 4.8, 5.4]",4.2,0.6,0,0,27.6,"[7887.82, 7604.76, 7328.83]"
9,0,0,3,"[4.8, 5.4, 6.0]",4.8,0.6,0,0,27.6,"[7606.66, 7330.98, 7062.46]"
10,0,0,3,"[5.4, 6.0, 6.6]",5.4,0.6,0,0,27.6,"[7332.76, 7064.42, 6803.13]"
11,0,0,3,"[6.0, 6.6, 7.2]",6,0.6,0,0,27.7,"[7066.09, 6804.94, 6550.65]"
12,0,0,3,"[6.6, 7.2, 7.8]",6.6,0.6,0.01,0,27.7,"[6806.52, 6552.33, 6304.73]"
13,0,0,3,"[7.2, 7.8, 8.4]",7.2,0.6,0.02,0,27.7,"[6553.83, 6306.31, 6065.08]"
14,0,0,3,"[7.8, 8.4, 9.0]",7.8,0.6,0.03,0,27.7,"[6307.74, 6066.58, 5831.36]"
15,0,0,3,"[8.4, 9.0, 9.6]",8.4,0.6,0,0,27.7,"[6067.94, 5832.8, 5603.23]"
16,0,0,3,"[9.0, 9.6, 10.2]",9,0.6,0,0,27.7,"[5834.11, 5604.64, 5380.37]"
17,0,0,3,"[9.6, 10.2, 10.8]",9.6,0.6,0,0,27.8,"[5605.89, 5381.76, 5162.44]"
18,0,0,3,"[10.2, 10.8, 11.4]",10.2,0.6,0.01,0,27.8,"[5382.96, 5163.83, 4949.1]"
19,0,0,3,"[10.8, 11.4, 12.0]",10.8,0.6,0.03,0,27.8,"[5164.97, 4950.52, 4740.04]"
20,0,0,3,"[11.4, 12.0, 12.6]",11.4,0.6,0,0,27.8,"[4951.59, 4741.5, 4534.95]"
21,0,0,3,"[12.0, 12.6, 13.2]",12,0.6,0.01,0,27.9,"[4742.52, 4536.48, 4333.54]"
22,0,0,3,"[12.6, 13.2, 13.8]",12.6,0.6,0.03,0,27.9,"[4537.44, 4335.17, 4135.53]"
23,0,0,3,"[13.2, 13.8, 14.4]",13.2,0.6,0,0,27.9,"[4336.06, 4137.27, 3940.65]"
24,0,0,3,"[13.8, 14.4, 15.0]",13.8,0.6,0.03,0,28,"[4138.1, 3942.53, 3748.64]"
25,0,0,3,"[14.4, 15.0, 15.6]",14.4,0.6,0.01,0,28.1,"[3943.3, 3750.69, 3559.25]"
26,0,0,3,"[15.0, 15.6, 16.2]",15,0.6,0,0,28.1,"[3751.4, 3561.51, 3372.42]"
27,0,0,3,"[15.6, 16.2, 16.8]",15.6,0.6,0,0,28.2,"[3562.15, 3374.91, 3187.96]"
